Title,Plateform,Release,Tags,Flat price,Discount,Developer,Publisher,Price
Call of Duty: Black Ops II,"
Steam
",13 November 2012,"Action,FPS,Cooperation,Wargame,Online Co-op,Adventure,Shooter,First-Person,Team-Based,Futuristic,Survival,Controller,Tactical,Sci-fi,Massively Multiplayer,Horror,Atmospheric,Action,...","
50€
",-24%,"
Treyarch
","
Activision
",38.09€
Stellaris: Utopia,"
Steam
", 6 April 2017,"Strategy,Simulation,Space,Grand Strategy,Sci-fi,4X,Simulation,Strategy,...","
20€
",-65%,"
Paradox Development Studio
","
Paradox Interactive
",6.99€
The Elder Scrolls V: Skyrim VR,"
Steam
", 2 April 2018,"RPG,VR,Adventure,Action,Open World,Fantasy,Magic,First-Person,Memes,Dragons,Moddable,Exploration,Character Customization,Story Rich,Sexual Content,Atmospheric,Stealth,Walking Simulator,RPG,...","
59€
",-80%,"
Bethesda Game Studios
","
Bethesda Softworks
",11.89€
Ghostrunner,"
Steam
",27 October 2020,"GeForce Now,Action,Adventure,Fighting,Strategy,Cyberpunk,Fast-Paced,First-Person,Difficult,Swordplay,Futuristic,Violent,Sci-fi,Hack and Slash,Action-Adventure,Combat,Post-apocalyptic,Shooter,Interactive Fiction,Action,...","
30€
",-73%,"
One More Level
3D Realms
Slipgate Ironworks™
All in! Games
","
505 Games
",7.99€
Naruto Shippuden: Ultimate Ninja STORM Trilogy Switch (Europe),"
Switch
",26 April 2018,"Action,Fighting,Multiplayer","
50€
",-54%,,,22.99€
Euro Truck Simulator 2 Gold Edition,"
Steam
",19 October 2012,"Management,Simulation","
20€
",-64%,,,7.23€
NieR:Automata Game of The YoRHa Edition,"
Steam
",17 March 2017,"Action,Adventure,RPG,Story Rich,Female Protagonist,Hack and Slash,Open World,Anime,Post-apocalyptic,JRPG,Singleplayer,Robots,Atmospheric,Sci-fi,Spectacle fighter,Bullet Hell,Character Action Game,Nudity,Violent,...","
40€
",-56%,"
Square Enix
PlatinumGames Inc.
","
Square Enix
",17.79€
Outlast,"
Steam
", 4 September 2013,"GeForce Now,Adventure,Action,Indies,Horror,First-Person,Survival Horror,Atmospheric,Gore,Survival,Psychological Horror,Dark,Stealth,Nudity,Parkour,Difficult,Walking Simulator,3D Vision,Sci-fi,Action,Adventure,Indie,...","
17€
",-82%,"
Red Barrels
","
Red Barrels
",3.09€
Rage Against The Zombies,"
Steam
",19 January 2017,"Action,Casual,Zombies,Action","
5€
",-20%,"
3DDUO
","
Plug In Digital
Fun4Family
",4.00€
Star Wars: Battlefront II,"
Origin
",17 November 2017,"Action,Adventure,FPS,Multiplayer,Flight","
30€
",-72%,,,8.29€
Total War: Warhammer II Curse Of The Vampire Coast (Europe),"
Steam
", 8 November 2018,"Strategy,Action,Violent,Vampire,Pirates,Fantasy,Zombies,Turn-Based Strategy,Warhammer 40K,Action,Strategy,...","
19€
",-47%,"
CREATIVE ASSEMBLY
Feral Interactive
","
SEGA
Feral Interactive
",9.99€
American Truck Simulator,"
Steam
", 2 February 2016,"GeForce Now,Simulation,Management,Adventure,Indies,Automobile Sim,Transportation,Driving,Open World,America,Realistic,Immersive Sim,Moddable,Relaxing,Exploration,Economy,Atmospheric,Casual,Family Friendly,Level Editor,Simulation,...","
20€
",-79%,"
SCS Software
","
SCS Software
",4.19€
The Sims 4: Spa Day,"
Origin
",14 July 2015,"Simulation,Life Sim,Casual,Simulation","
 20€
",-27%,"
Maxis
","
Electronic Arts
",14.55€
Far Cry Primal,"
Ubisoft Connect
", 1 March 2016,"GeForce Now,Action,Adventure,FPS,Cooperation,RPG,Strategy,Open World,Survival,Hunting,First-Person,Open World Survival Craft,Crafting,Exploration,Stealth,Atmospheric,Shooter,Mature,Sandbox,Action RPG,Action,Adventure,...","
50€
",-89%,"
Ubisoft
","
Ubisoft
",5.54€
Hunt Showdown,"
Steam
",22 February 2018,"GeForce Now,Action,Cooperation,FPS,Multiplayer,Horror,First-Person,Survival,Online Co-Op,Shooter,Western,Zombies,PvP,Survival Horror,Perma Death,Open World,Gore,Team-Based,Violent,Battle Royale,...","
40€
",-43%,"
Crytek
","
Crytek
",22.99€
Mafia: Trilogy (Europe),"
Steam
",25 September 2020,"Action,Adventure,FPS","
61€
",-64%,"
","
",21.89€
Space Engineers,"
Steam
",23 October 2013,"GeForce Now,Simulation,Cooperation,Indies,Action,Strategy,Adventure,Early Access,Space,Sandbox,Building,Open World Survival Craft,Survival,Open World,Physics,Crafting,Destruction,Futuristic,Sci-fi,Action,Indie,Simulation,Strategy,...","
17€
",-53%,"
Keen Software House
","
Keen Software House
",7.99€
Nioh 2: The Complete Edition,"
Steam
", 5 February 2021,"RPG,Action,Cooperation,Souls-like,Difficult,Character Customization,JRPG,Fantasy,Story Rich,Dark Fantasy,Historical,Violent,Medieval,Dark,Atmospheric,Hack and Slash,Gore,Female Protagonist,Action,RPG,...","
60€
",-56%,"
KOEI TECMO GAMES CO., LTD.
","
KOEI TECMO GAMES CO., LTD.
",26.51€
Kenshi,"
Steam
", 6 December 2018,"GeForce Now,RPG,Strategy,Indies,Simulation,Management,Adventure,Action,Open World,Sandbox,Survival,Building,Post-apocalyptic,Crafting,Base Building,City Builder,RTS,Ninja,Alternate History,Steampunk,Character Customization,Indie,RPG,Simulation,Strategy,...","
27€
",-58%,"
Lo-Fi Games
","
Lo-Fi Games
",11.36€
Star Wars The Force Unleashed: Ultimate Sith Edition,"
Steam
", 3 November 2009,"Action,Adventure,Beat'em all,Platformer,RPG,Third Person,Hack and Slash,Sci-fi,Story Rich,Controller,Quick-Time Events,Space,Classic,Difficult,Multiple Endings,Physics,Action,...","
17€
",-80%,"
LucasArts
","
LucasArts
Lucasfilm
Disney
",3.40€
Max Payne 3,"
Steam
",18 May 2012,"Action,Adventure,Cooperation,Third-Person Shooter,Bullet Time,Story Rich,Shooter,Cinematic,Third Person,Noir,Atmospheric,Violent,Nudity,Linear,Dark,Drama,Open World,Action,...","
20€
",-84%,"
Rockstar Studios
","
Rockstar Games
",3.12€
Valheim,"
Steam
", 2 February 2021,"GeForce Now,Online Co-op,Cooperation,Adventure,RPG,Early Access,Action,Indies,Open World Survival Craft,Survival,Open World,Crafting,Building,Exploration,Base Building,Sandbox,Mythology,Sailing,PvP,Fishing,Action,Adventure,Indie,RPG,Early Access,...","
17€
",-5%,"
Iron Gate AB
","
Coffee Stain Publishing
",15.99€
Steep X Games Gold Edition (Europe),"
Ubisoft Connect
", 2 December 2016,"Sports,Action,Simulation,Adventure,Racing,Cooperation,VR,Open World,Atmospheric,Exploration,First-Person,Third Person,Realistic,Snowboarding,Sandbox,Casual,Skiing,Action,Sports,...","
41€
",-79%,"
Ubisoft Annecy
Ubisoft Montpellier
Ubisoft Kiev
","
Ubisoft
",8.55€
Batman: Arkham Knight Xbox ONE,"
Xbox One
",23 June 2015,"Action,Adventure,Batman,Open World,Superhero,Stealth,Third Person,Singleplayer,Detective,Atmospheric,Story Rich,Dark,Comic Book,Puzzle,Mature,Sandbox,Horror,...","
35€
",-58%,,,14.77€
Shock Tactics,"
Steam
",11 April 2017,"Strategy,RPG,Turn-Based,Sci-fi,Tactical,RPG,Strategy,...","
10€
",,"
Point Blank Games
","
EuroVideo Medien
",9.99€
Assassin's Creed: Director's Cut Edition,"
Ubisoft Connect
", 9 April 2008,"GeForce Now,Action,Adventure,Story Rich,Singleplayer,Violent,Crime,Open World,Atmospheric,Third Person,...","
10€
",-67%,,,3.25€
Immortals: Fenyx Rising (Europe),"
Ubisoft Connect
", 3 December 2020,"GeForce Now,Action,Adventure","
60€
",-70%,,,18.09€
Microsoft Flight Simulator,"
Microsoft Store
",18 August 2020,Simulation,"
70€
",-31%,"
Asobo Studio
","
Xbox Game Studios
",47.99€
Noita,"
Steam
",15 October 2020,"Indies,Action,RPG,Adventure,Simulation,Physics,Difficult,Roguelike,Dungeon Crawler,Open World,Action Roguelike,Perma Death,2D,Sandbox,Roguelite,Pixel Graphics,2D Platformer,Gun Customization,Action-Adventure,Dark Humor,Mythology,Crafting,Action,Indie,RPG,...","
19€
",-16%,"
Nolla Games
","
Nolla Games
",15.99€
Cities: Skylines - Content Creator Pack: Modern City Center,"
Steam
", 7 November 2019,"Simulation,Strategy,City Builder,Simulation,Strategy","
5€
",-36%,"
Jason “AmiPolizeiFunk” Ditmars
","
Paradox Interactive
",3.20€
Euro Truck Simulator 2: Special Transport,"
Steam
",13 December 2017,"Simulation,Indies,Driving,Open World,Realistic,Difficult,Indie,Simulation,...","
5€
",-20%,"
SCS Software
","
SCS Software
",3.99€
Tekken 7 Ultimate Edition,"
Steam
", 1 June 2017,"Action,Arcade,Beat'em all,Fighting,Cooperation,Multiplayer,Sports,Competitive,Local Multiplayer,Singleplayer,Controller,e-sports,Difficult,Anime,Story Rich,Character Customization,Nudity,Sexual Content,Third Person,Atmospheric,...","
91€
",-85%,,,13.69€
